Open Date,Net P&L,Net ROI
2025-09-03,610.0,0.00065119
2025-09-03,-561.0,-0.00018133
2025-09-03,3013.5,0.00156998
2025-09-03,556.0,0.00148113
2025-09-03,658.0,0.00029883
2025-09-03,-562.5,-0.0000961
2025-09-03,-450.0,-0.00080039
2025-09-04,1001.0,0.00096935
2025-09-04,-535.5,-0.00126674
2025-09-04,570.0,0.001217
2025-09-04,3250.0,0.00069216
2025-09-04,-577.5,-0.00037267
2025-09-05,-574.0,-0.0004294
2025-09-05,-459.0,-0.00160176
2025-09-05,565.0,0.00237495
2025-09-08,-580.0,-0.00030449
2025-09-08,-551.0,-0.00019941
2025-09-09,-567.0,-0.00056629
2025-09-09,-587.5,-0.00049333
2025-09-10,-572.0,-0.00022953
2025-09-10,561.0,0.00106672
2025-09-10,710.0,0.00020876
2025-09-10,528.0,0.00033385
2025-09-10,-570.0,-0.00031294
2025-09-10,-575.0,-0.00023988
2025-09-10,816.5,0.00074066
2025-09-10,-562.5,-0.00026062
2025-09-10,777.0,0.00014599
2025-09-10,-577.5,-0.00021895
2025-09-10,-503.5,-0.00055262
2025-09-10,852.5,0.00032323
2025-09-10,584.0,0.00076201
2025-09-10,-747.0,-0.00009391
2025-09-10,-747.0,-0.00009389
2025-09-10,-577.5,-0.00021907
2025-09-11,-577.5,-0.00036503
2025-09-11,-900.0,-0.00009382
2025-09-11,-870.0,-0.00120855
2025-09-11,2275.5,0.00042731
2025-09-11,544.0,0.00033339
2025-09-11,-900.0,-0.00009382
2025-09-11,-567.0,-0.0004376
2025-09-12,-496.0,-0.00128905
2025-09-12,-539.5,-0.00013512
2025-09-12,609.0,0.00021827
2025-09-12,1677.5,0.000634
2025-09-12,-580.0,-0.00030112
2025-09-15,567.0,0.00065079
2025-09-18,6500.0,0.00106563
2025-09-18,-550.0,-0.0001125
2025-09-22,-747.0,-0.00009061
2025-09-25,-580.5,-0.00027502
2025-09-25,-585.0,-0.00045765
2025-09-26,-484.0,-0.00244942
2025-09-26,579.5,0.00061943
2025-09-26,571.5,0.00129253
2025-09-26,-568.0,-0.00016254
2025-09-26,-577.5,-0.00021308
2025-09-26,555.5,0.00102779
2025-09-26,-585.0,-0.00045734
2025-09-26,3000.0,0.00030466
2025-09-26,-564.0,-0.00024359
2025-09-26,562.5,0.00076236
2025-09-26,-551.0,-0.00019306
2025-09-26,567.0,0.00064049
2025-09-26,-590.0,-0.0005996
2025-09-29,-578.0,-0.00034159
2025-09-29,-561.0,-0.00017084
2025-09-29,585.0,0.00065321
2025-09-29,510.0,0.00034184
2025-09-29,-562.5,-0.00009051
2025-09-29,2100.0,0.00021129
2025-09-29,-555.0,-0.00010054
2025-09-29,-165.0,-0.00033198
2025-09-30,567.0,0.00063573
2025-09-30,579.5,0.00061531
2025-09-30,-587.5,-0.0004738
2025-09-30,3480.0,0.00120957
2025-09-30,-490.0,-0.00140834
2025-09-30,1118.0,0.00043357
2025-10-03,-590.0,-0.00058624
2025-10-03,-580.5,-0.00042771
2025-10-03,-580.5,-0.00042724
2025-10-03,-570.0,-0.00029854
2025-10-03,-555.0,-0.00009952
2025-10-03,-585.0,-0.00038826
2025-10-03,610.0,0.00060732
2025-10-03,-540.0,-0.00011939
2025-10-03,1384.5,0.00038801
2025-10-03,-900.0,-0.00008949
2025-10-03,-567.0,-0.00041779
2025-10-03,1988.0,0.00027867
2025-10-03,1000.0,0.00019902
2025-10-03,575.0,0.00022882
2025-10-03,3486.0,0.00041772
2025-10-03,188.0,0.00007954
2025-10-06,581.0,0.00082481
2025-10-06,594.0,0.00098457
2025-10-06,1437.5,0.00022833
2025-10-06,1014.0,0.00038702
2025-10-06,-568.0,-0.00015867
